Store,Actual_Annual,Predicted_Annual,Conservative,Optimistic,Months,Outlier_Flag,APE,In_CI
125,797248.3,796526.3,667888.1,1049986.0,28,4,0.09,True
105,157593.8,162141.3,135954.1,213738.7,45,1,2.89,True
112,282725.8,293323.5,245950.8,386663.3,45,3,3.75,True
110,236228.6,223875.8,187718.7,295117.3,45,3,5.23,True
126,260543.5,276532.2,231871.3,364529.0,25,3,6.14,True
130,250432.4,270354.8,226691.5,356386.0,19,2,7.96,True
113,154620.3,141735.2,118843.5,186839.4,45,2,8.33,True
141,209528.4,230164.1,192991.5,303406.6,7,2,9.85,True
127,431051.8,477836.8,400665.8,629889.1,24,4,10.85,True
101,1257345.0,1110496.0,931152.8,1463862.0,45,5,11.68,True
145,185866.7,162615.0,136351.3,214363.2,6,2,12.51,True
122,255532.0,288040.0,241520.6,379698.6,33,3,12.72,True
136,1700660.0,1473345.0,1235403.0,1942170.0,9,5,13.37,True
104,335896.6,290323.6,243435.4,382708.9,45,3,13.57,True
129,380270.6,327046.3,274227.5,431116.8,20,2,14.00,True
118,933585.2,769751.3,645437.1,1014691.0,43,4,17.55,True
135,859120.0,1013600.0,849905.2,1336133.0,11,4,17.98,True
134,263119.8,210218.6,176267.1,277114.3,9,2,20.11,True
128,594153.9,444121.7,372395.6,585445.7,20,4,25.25,False
108,632784.3,471552.8,395396.7,621605.5,45,4,25.48,False
142,335108.2,248212.2,208124.8,327197.6,5,3,25.93,False
123,432975.5,547803.9,459333.5,722119.8,33,3,26.52,False
109,637310.2,464648.6,389607.5,612504.4,45,4,27.09,False
132,314197.2,223483.3,187389.6,294599.9,15,3,28.87,False
131,323189.4,229678.1,192583.9,302765.9,18,4,28.93,False
114,162937.2,210331.0,176361.3,277262.5,45,3,29.09,False
103,427780.2,300633.7,252080.5,396299.7,45,3,29.72,False
111,315833.1,218192.5,182953.2,287625.5,45,3,30.92,False
102,209070.2,143886.7,120647.5,189675.5,45,3,31.18,False
144,276277.1,366627.2,307416.2,483292.3,4,3,32.70,False
140,913074.5,556164.6,466343.9,733140.9,7,4,39.09,False
124,1374939.0,1915006.0,1605737.0,2524367.0,30,4,39.28,False
120,113655.1,167698.7,140614.0,221064.5,41,1,47.55,False
115,472497.6,218761.0,183429.9,288375.0,44,4,53.70,False
119,179721.1,284288.1,238374.6,374752.9,42,1,58.18,False
133,74564.5,137915.1,115640.3,181803.7,15,1,84.96,False
106,130255.9,386463.2,324048.8,509440.3,45,1,196.70,False
